area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
10580,"Albany-Schenectady-Troy, NY",4,15-1252,Software Developers,2970.0,121300.0,58.32,115970.0,55.76,75450.0,85520.0,143720.0,173320.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
10740,"Albuquerque, NM",4,15-1252,Software Developers,2830.0,121630.0,58.48,125450.0,60.31,70470.0,89240.0,141080.0,177970.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
10780,"Alexandria, LA",4,15-1252,Software Developers,40.0,107770.0,51.81,106190.0,51.05,76530.0,82180.0,131180.0,144750.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,15-1252,Software Developers,1360.0,117650.0,56.56,112340.0,54.01,66280.0,82540.0,136070.0,170500.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11020,"Altoona, PA",4,15-1252,Software Developers,150.0,105970.0,50.95,97120.0,46.69,67170.0,78020.0,131980.0,150000.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11100,"Amarillo, TX",4,15-1252,Software Developers,350.0,112260.0,53.97,116870.0,56.19,55500.0,79530.0,131970.0,163090.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11180,"Ames, IA",4,15-1252,Software Developers,440.0,124510.0,59.86,127040.0,61.08,73480.0,101510.0,156360.0,180560.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11200,"Amherst Town-Northampton, MA",4,15-1252,Software Developers,320.0,128680.0,61.86,123600.0,59.42,85390.0,98280.0,156730.0,191160.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11260,"Anchorage, AK",4,15-1252,Software Developers,240.0,128070.0,61.57,117100.0,56.3,92210.0,98830.0,163930.0,182190.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
11460,"Ann Arbor, MI",4,15-1252,Software Developers,2450.0,125220.0,60.2,119310.0,57.36,79800.0,97720.0,138850.0,169780.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
