season,week,rule,robustness_radius,eliminated_index
19,4,weighted_saturation,2.2378975184012537,7
19,5,weighted_saturation,2.126006114731989,6
19,6,weighted_saturation,1.7347029823945508,8
19,7,weighted_saturation,2.334633158273702,7
19,8,weighted_saturation,2.319819717170218,4
19,9,weighted_saturation,2.355685143443793,5
19,10,weighted_saturation,2.3037328805415433,4
19,11,weighted_saturation,inf,0
2,1,weighted_saturation,0.0028670070857007165,4
2,2,weighted_saturation,1.9444178819963192,5
2,3,weighted_saturation,2.3797766504172086,5
2,4,weighted_saturation,inf,4
2,5,weighted_saturation,1.9490303287278312,1
2,6,weighted_saturation,1.9592574944920045,1
2,7,weighted_saturation,1.5619889111605607,1
2,8,weighted_saturation,inf,1
20,1,weighted_saturation,0.0,5
20,2,weighted_saturation,1.6550366509402181,5
20,3,weighted_saturation,2.4102802387279922,5
20,4,weighted_saturation,1.6474637983481095,8
20,5,weighted_saturation,2.961290423574455,3
20,6,weighted_saturation,1.6801296322191999,5
20,7,weighted_saturation,inf,4
20,8,weighted_saturation,1.6026821369231903,4
20,9,weighted_saturation,0.8557445330371125,1
20,10,weighted_saturation,0.8283024824256375,0
21,1,weighted_saturation,0.0,5
21,2,weighted_saturation,1.2532882668729537,5
21,3,weighted_saturation,1.3939368035822757,8
21,4,weighted_saturation,inf,5
21,5,weighted_saturation,1.5694328978971415,7
21,6,weighted_saturation,1.3526661820176573,7
21,7,weighted_saturation,0.7778423001778931,1
21,8,weighted_saturation,inf,0
21,9,weighted_saturation,0.47188292851719704,0
21,10,weighted_saturation,1.073030975217239,0
21,11,weighted_saturation,0.7280893633453619,3
22,1,weighted_saturation,0.0,2
22,2,weighted_saturation,1.0447578733184708,2
22,3,weighted_saturation,1.218594915659295,6
22,4,weighted_saturation,1.8666058238197811,1
22,5,weighted_saturation,inf,1
22,6,weighted_saturation,1.0104494338853034,1
22,7,weighted_saturation,0.8198736135555764,3
22,8,weighted_saturation,1.1665210682452982,2
22,9,weighted_saturation,0.5162621024886248,4
22,10,weighted_saturation,0.8008882334290206,0
23,1,weighted_saturation,0.04702959385485301,9
23,2,weighted_saturation,2.114001057599192,9
23,3,weighted_saturation,1.8392441571624818,8
23,4,weighted_saturation,2.0926009319264374,1
23,5,weighted_saturation,1.8329535463161382,5
23,6,weighted_saturation,1.4033019899094845,6
23,7,weighted_saturation,inf,5
23,8,weighted_saturation,inf,4
23,9,weighted_saturation,2.1242212836397365,4
23,10,weighted_saturation,1.123798000777375,1
23,11,weighted_saturation,1.1120940841946827,0
24,1,weighted_saturation,0.04478419601064551,6
24,2,weighted_saturation,1.5319057206854754,6
24,3,weighted_saturation,1.8128842194542418,5
24,4,weighted_saturation,1.411978198622955,4
24,5,weighted_saturation,1.19046074044333,2
24,6,weighted_saturation,inf,1
24,7,weighted_saturation,1.5619663018721912,1
24,8,weighted_saturation,1.8312948762518004,0
24,9,weighted_saturation,inf,0
24,10,weighted_saturation,0.8228476683582217,0
25,1,weighted_saturation,0.0,0
25,2,weighted_saturation,1.2111895572339242,0
25,3,weighted_saturation,0.9684293514321473,0
25,4,weighted_saturation,1.2206603509171896,5
25,5,weighted_saturation,1.9069459253454155,4
25,6,weighted_saturation,2.4156466000177295,4
25,7,weighted_saturation,0.8028648266439733,0
25,8,weighted_saturation,1.0101785461494592,4
25,9,weighted_saturation,1.4808792843241998,0
25,10,weighted_saturation,1.302840938429856,0
26,1,weighted_saturation,0.0,7
26,2,weighted_saturation,1.5791781155820162,5
26,3,weighted_saturation,inf,2
26,4,weighted_saturation,1.0603411035057857,2
27,1,weighted_saturation,0.0,6
27,2,weighted_saturation,2.0054864380612503,5
27,3,weighted_saturation,1.661261703285136,4
27,4,weighted_saturation,inf,4
27,5,weighted_saturation,2.0846076182467494,4
27,6,weighted_saturation,inf,5
27,7,weighted_saturation,1.5838961334087862,5
27,8,weighted_saturation,1.745030468175281,3
27,9,weighted_saturation,1.1300278993431325,1
28,1,weighted_saturation,0.0,11
28,2,weighted_saturation,1.7385224194247897,6
28,3,weighted_saturation,1.6142307981893975,6
28,4,weighted_saturation,inf,6
28,5,weighted_saturation,inf,8
28,6,weighted_saturation,0.9192332612503331,8
28,7,weighted_saturation,1.4508428308493975,7
28,8,weighted_saturation,inf,6
28,9,weighted_saturation,1.7840966206530913,5
28,10,weighted_saturation,0.8940180848345398,2
28,11,weighted_saturation,0.5831850943567861,3
29,1,weighted_saturation,0.0,2
29,2,weighted_saturation,1.2063887808492155,3
29,3,weighted_saturation,1.4995223568850287,2
29,4,weighted_saturation,0.9775225446608565,1
29,5,weighted_saturation,1.5602425769101116,3
29,6,weighted_saturation,0.8467565629978675,10
29,7,weighted_saturation,0.032890330527786754,9
29,8,weighted_saturation,1.365820346152522,4
29,9,weighted_saturation,1.379548719246436,4
29,10,weighted_saturation,1.2386041444473883,3
29,11,weighted_saturation,1.2997353733593275,2
3,1,weighted_saturation,0.0,2
3,2,weighted_saturation,0.6174044420833608,2
3,3,weighted_saturation,1.478414677211062,2
3,4,weighted_saturation,inf,1
3,5,weighted_saturation,1.4794069758380246,1
3,6,weighted_saturation,2.1283013371086184,1
3,7,weighted_saturation,1.418419240754995,1
3,8,weighted_saturation,0.18660887900896322,3
3,9,weighted_saturation,0.34292070415223674,0
3,10,weighted_saturation,0.09170042032579151,0
30,1,weighted_saturation,0.0,8
30,2,weighted_saturation,2.3180989814223394,8
30,3,weighted_saturation,1.1731894310412538,1
30,4,weighted_saturation,1.7687826878980073,1
30,5,weighted_saturation,1.0027244721710342,2
30,6,weighted_saturation,1.6690949098627499,7
30,7,weighted_saturation,1.2210565670655336,6
30,8,weighted_saturation,1.3181123416189215,2
30,9,weighted_saturation,1.0040302821234395,2
30,10,weighted_saturation,1.4323816233236684,1
31,1,weighted_saturation,0.0,1
31,2,weighted_saturation,1.909556976924914,1
31,3,weighted_saturation,1.4814875843929385,1
31,4,weighted_saturation,1.9458934047290894,7
31,5,weighted_saturation,1.5453411739272485,10
31,6,weighted_saturation,2.3063272781019535,8
31,7,weighted_saturation,1.8105585197123253,7
31,8,weighted_saturation,1.8082667511858856,6
31,9,weighted_saturation,1.3119762213886932,4
31,10,weighted_saturation,1.242848146676641,3
32,1,weighted_saturation,0.0,9
32,2,weighted_saturation,1.5110419299476312,9
32,3,weighted_saturation,1.8370087698740585,8
32,4,weighted_saturation,1.4292332197295379,8
32,5,weighted_saturation,1.9030747263927792,0
32,6,weighted_saturation,2.261531055626158,4
32,7,weighted_saturation,1.7946720228519704,2
32,8,weighted_saturation,1.8788891005662516,4
32,9,weighted_saturation,inf,3
32,10,weighted_saturation,1.3164300155961857,0
32,11,weighted_saturation,inf,0
33,1,weighted_saturation,0.0,5
33,2,weighted_saturation,1.5114828926291397,5
33,3,weighted_saturation,1.8633099680193579,9
