season,week,rule_regime,n_active,observed_eliminated,model_elim_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_map_matches_observed
25,9,percent,5,4,0.2054130622688755,2,False,-1.6094379124341003,0.2,0.19953371924356705,False
25,10,percent,4,0,0.26553957161439073,1,True,-1.3862943611198906,0.25,0.2508018399697758,True
26,1,percent,10,3,0.10012410801111335,5,False,-2.302585092994046,0.1,0.10029863594347176,False
26,2,percent,8,1,0.1273847734917042,4,False,-2.0794415416798357,0.125,0.12477057384342045,False
26,3,percent,6,1,0.17063964396856812,4,False,-1.791759469228055,0.16666666666666666,0.16720189067321584,False
27,1,percent,13,11,0.07735909868194762,6,False,-2.5649493574615367,0.07692307692307693,0.07712320082667819,False
27,2,percent,12,2,0.08575409878572807,2,False,-2.4849066497880004,0.08333333333333333,0.08372445028920712,False
27,3,percent,11,9,0.09359900045402304,3,False,-2.3978952727983707,0.09090909090909091,0.09118635012576817,False
27,4,percent,10,9,0.09652249610341068,9,False,-2.302585092994046,0.1,0.09962078889271599,False
27,6,percent,9,7,0.11411831891476383,4,False,-2.1972245773362196,0.1111111111111111,0.11132978135233967,False
27,7,percent,8,2,0.1279649329465149,4,False,-2.0794415416798357,0.125,0.12512364123090627,False
27,8,percent,6,3,0.17570809198053516,1,True,-1.791759469228055,0.16666666666666666,0.16791355878705586,False
28,2,rank,12,8,0.09797589496858423,4,False,-2.4849066497880004,0.08333333333333333,0.17353023919085367,False
28,4,rank,10,6,0.5101949877642868,1,True,-2.302585092994046,0.1,0.28407844242571056,True
28,6,rank,9,7,0.018314475099410133,8,False,-2.1972245773362196,0.1111111111111111,0.03210114026303778,False
28,7,rank,8,3,0.20211765858094796,2,False,-2.0794415416798357,0.125,0.15719999352086583,False
28,8,rank,7,3,0.20333418261977618,2,False,-1.9459101490553132,0.14285714285714285,0.1617777626211713,False
28,9,rank,6,5,0.5025599891559835,1,True,-1.791759469228055,0.16666666666666666,0.3176506979125795,True
28,10,rank,5,2,0.49422956886314723,1,True,-1.6094379124341003,0.2,0.341949284804633,True
29,2,rank,15,3,0.4689342270103921,1,True,-2.70805020110221,0.06666666666666667,0.24214840459288228,True
